Feature,F_score,P_value
original_firstorder_Kurtosis_t72,13.279042260927483,0.0011743608186767975
original_firstorder_Kurtosis_mean,12.68795512828867,0.0014484872597589113
original_shape2D_MajorAxisLength_mean,10.704510134228059,0.003013776160295969
original_shape2D_PerimeterSurfaceRatio_mean,8.23314391527212,0.008062731039498859
original_shape2D_Perimeter_mean,8.225908884788748,0.008087065208615178
original_shape2D_Elongation_mean,7.431840613607853,0.011316848702643685
original_shape2D_MeshSurface_mean,7.217250468066849,0.012415809619310538
original_shape2D_MajorAxisLength_std,6.972612192717617,0.013813521307586302
original_shape2D_MinorAxisLength_mean,6.794418908839833,0.014940206750180231
original_shape2D_MeshSurface_t72,6.768967589197036,0.015109210366112057
original_shape2D_MajorAxisLength_t72,6.640560401285665,0.01599453420371045
original_shape2D_PerimeterSurfaceRatio_t72,6.371814301270362,0.018037972346867052
original_shape2D_MinorAxisLength_t72,6.265402284260897,0.018925129076469357
original_firstorder_Kurtosis_t48,6.04665587672067,0.02090375415707231
original_glrlm_LongRunEmphasis_t24,5.894885285557786,0.022410357695822378
original_shape2D_Perimeter_t72,5.877532992418122,0.022590111029853106
original_glrlm_LongRunEmphasis_mean,5.845645156932021,0.022924604531381024
original_shape2D_Elongation_t72,5.765780935383806,0.023786617622821214
original_shape2D_MajorAxisLength_t0,5.225160299160616,0.030657358261604213
original_shape2D_MinorAxisLength_t24,4.627033217784538,0.040940529630103015
original_ngtdm_Contrast_mean,4.623012958007176,0.041021540055289
original_shape2D_Elongation_delta_t48_t72,4.588200780003321,0.041730557901458215
original_shape2D_Elongation_slope_t48_t72,4.588200780003316,0.041730557901458215
original_shape2D_MajorAxisLength_delta_t48_t72,4.45986373873752,0.04446520653317797
original_shape2D_MajorAxisLength_slope_t48_t72,4.459863738737508,0.044465206533178224
original_shape2D_MajorAxisLength_t24,4.375419663969041,0.04637373988586615
original_firstorder_InterquartileRange_slope,4.290685429614864,0.04838151887533221
original_firstorder_InterquartileRange_delta,4.290685429614862,0.0483815188753323
original_firstorder_Maximum_t72,4.202563038271007,0.05057357728793436
original_gldm_DependenceNonUniformityNormalized_t24,4.193247322108658,0.05081174827580928
original_glrlm_RunEntropy_std,4.09187859487124,0.053486483046163526
original_shape2D_MeshSurface_t24,4.039731102704664,0.054923859766219975
original_gldm_DependenceNonUniformityNormalized_mean,4.028932680092983,0.0552269053859643
original_shape2D_PerimeterSurfaceRatio_t0,3.989572843234202,0.05634753617536485
original_shape2D_PerimeterSurfaceRatio_delta_t48_t72,3.967926889418519,0.05697472671599351
original_shape2D_PerimeterSurfaceRatio_slope_t48_t72,3.96792688941851,0.05697472671599374
original_shape2D_MeshSurface_delta_t48_t72,3.942170220308679,0.05773129539410654
original_shape2D_MeshSurface_slope_t48_t72,3.9421702203086753,0.057731295394106666
original_ngtdm_Contrast_t24,3.9191459898124807,0.05841719719447097
original_gldm_DependenceVariance_mean,3.853801652700012,0.060414422545977293
original_shape2D_Perimeter_t0,3.851656753755477,0.06048127439880787
original_glrlm_LongRunEmphasis_t0,3.84779913021431,0.0606017184121862
original_shape2D_Sphericity_mean,3.7555491130007446,0.06356426881812459
original_shape2D_Elongation_t0,3.7161977925401875,0.06487755773971964
original_shape2D_Perimeter_slope_t48_t72,3.413825265947027,0.0760606954593425
original_shape2D_Perimeter_delta_t48_t72,3.41382526594702,0.07606069545934278
original_shape2D_Sphericity_t72,3.3942467978618436,0.07685715954318659
original_shape2D_MeshSurface_t0,3.32153894448842,0.07989929521474987
