feature,importance_mean,importance_std
original_shape2D_PerimeterSurfaceRatio,0.31340860861557895,0.039256631205665166
original_gldm_DependenceNonUniformityNormalized,0.2463163789002323,0.040571146912881356
original_firstorder_10Percentile,0.15155388045207954,0.02456904126240721
original_firstorder_InterquartileRange,0.11163175076789328,0.02265691296618681
original_glrlm_RunLengthNonUniformityNormalized,0.10934969197808415,0.02324899001147903
original_firstorder_Maximum,0.10895365693547421,0.02452529599444439
original_shape2D_Sphericity,0.09512148170293105,0.024622825692467543
original_firstorder_Energy,0.08877564589244845,0.01804877507220693
original_firstorder_Minimum,0.08729693134952415,0.017592107350842556
original_ngtdm_Contrast,0.08176669659864992,0.020945480150630504
original_firstorder_90Percentile,0.08107616432608722,0.018651395800691518
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.07730749099076305,0.017599671349884594
original_glrlm_LongRunEmphasis,0.07728209361219932,0.02116560710280706
original_shape2D_MeshSurface,0.06660087458319991,0.023403486224522953
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0650383588268477,0.01585558974251936
original_glrlm_RunEntropy,0.0582149618821587,0.01578843949960904
original_firstorder_MeanAbsoluteDeviation,0.03732707721558077,0.014009789333443299
original_firstorder_Kurtosis,0.03540929257843662,0.01763236293005519
original_firstorder_Skewness,0.03396987728975902,0.011152959752280532
original_shape2D_Perimeter,0.030599935936417078,0.011011848663354274
original_gldm_DependenceVariance,0.02951381442019014,0.010096616915848096
original_firstorder_RootMeanSquared,0.02291187697980239,0.01156619230428096
original_shape2D_MajorAxisLength,0.020484213791843085,0.010221906209239564
original_shape2D_Elongation,0.013449676874573253,0.013144993068764039
original_shape2D_MinorAxisLength,0.0035700396355292075,0.009977491327193546
