Feature,Importance
original_firstorder_10Percentile,0.3865269706004154
original_firstorder_90Percentile,0.23081541828914273
original_firstorder_MeanAbsoluteDeviation,0.1783573309702709
original_gldm_DependenceNonUniformityNormalized,0.157962974849227
original_shape2D_PerimeterSurfaceRatio,0.08892035362658186
original_glrlm_LongRunEmphasis,0.0718896869218264
original_shape2D_Sphericity,0.06503445338187304
original_firstorder_Skewness,0.0492375683824364
original_glrlm_RunEntropy,0.04399025352468941
original_shape2D_MeshSurface,0.04132315763496124
original_shape2D_MajorAxisLength,0.038690062588091004
original_firstorder_Kurtosis,0.03771269692888088
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0357344797255319
original_firstorder_Maximum,0.03502160726128128
original_ngtdm_Contrast,0.030622522291361833
original_firstorder_Energy,0.018875133440341547
original_firstorder_Minimum,0.012336617294199288
original_firstorder_InterquartileRange,0.007912315540458773
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0071924062524483506
original_gldm_DependenceVariance,0.00530851679083742
