feature,n_folds_selected,selection_frequency
original_firstorder_Kurtosis_mean,28,1.0
original_shape2D_MajorAxisLength_std,23,0.8214285714285714
original_firstorder_Kurtosis_t72,18,0.6428571428571429
original_gldm_DependenceNonUniformityNormalized_t24,17,0.6071428571428571
original_shape2D_Elongation_mean,17,0.6071428571428571
original_glrlm_RunEntropy_std,15,0.5357142857142857
original_firstorder_Minimum_std,15,0.5357142857142857
original_shape2D_MajorAxisLength_mean,15,0.5357142857142857
original_firstorder_Kurtosis_t48,15,0.5357142857142857
original_firstorder_Skewness_slope,14,0.5
original_shape2D_MeshSurface_slope,14,0.5
original_shape2D_Perimeter_delta,14,0.5
original_shape2D_MeshSurface_delta,14,0.5
original_shape2D_Perimeter_t72,13,0.4642857142857143
original_gldm_SmallDependenceLowGrayLevelEmphasis_mean,13,0.4642857142857143
original_shape2D_MajorAxisLength_delta,13,0.4642857142857143
original_ngtdm_Contrast_delta,13,0.4642857142857143
original_glrlm_RunEntropy_delta_t0_t24,12,0.42857142857142855
original_shape2D_Perimeter_t0,12,0.42857142857142855
original_firstorder_90Percentile_t24,12,0.42857142857142855
original_glrlm_RunEntropy_t24,12,0.42857142857142855
original_shape2D_Perimeter_slope,12,0.42857142857142855
original_gldm_SmallDependenceHighGrayLevelEmphasis_t24,12,0.42857142857142855
original_shape2D_Elongation_t72,12,0.42857142857142855
original_shape2D_Perimeter_std,12,0.42857142857142855
original_shape2D_Perimeter_mean,12,0.42857142857142855
original_shape2D_Elongation_t0,12,0.42857142857142855
original_ngtdm_Contrast_slope,12,0.42857142857142855
original_ngtdm_Contrast_mean,12,0.42857142857142855
original_glrlm_RunEntropy_slope_t0_t24,12,0.42857142857142855
original_glrlm_LongRunEmphasis_t0,12,0.42857142857142855
original_firstorder_Maximum_slope_t24_t48,12,0.42857142857142855
original_firstorder_Maximum_t24,12,0.42857142857142855
original_firstorder_Minimum_t0,12,0.42857142857142855
original_shape2D_MajorAxisLength_t0,12,0.42857142857142855
original_firstorder_Energy_t0,12,0.42857142857142855
original_firstorder_Skewness_delta,12,0.42857142857142855
original_shape2D_Perimeter_slope_t48_t72,12,0.42857142857142855
original_shape2D_MajorAxisLength_t72,12,0.42857142857142855
original_ngtdm_Contrast_t0,12,0.42857142857142855
original_shape2D_Elongation_std,12,0.42857142857142855
original_glrlm_RunEntropy_t72,11,0.39285714285714285
original_glrlm_RunEntropy_t48,11,0.39285714285714285
original_shape2D_Sphericity_std,11,0.39285714285714285
original_glrlm_RunEntropy_t0,11,0.39285714285714285
original_shape2D_PerimeterSurfaceRatio_slope_t48_t72,11,0.39285714285714285
original_shape2D_PerimeterSurfaceRatio_delta_t48_t72,11,0.39285714285714285
original_gldm_DependenceVariance_slope_t24_t48,11,0.39285714285714285
original_shape2D_Perimeter_delta_t48_t72,11,0.39285714285714285
original_gldm_DependenceVariance_delta_t24_t48,11,0.39285714285714285
