feature,p_value,n_thresholds_actual,n_thresholds_null,actual_mean,null_mean,mean_r2,mean_mae
original_firstorder_Energy_mean,1.2202251292398735e-79,8,176,-0.29704782366752625,0.14076969977891582,,0.13596141547516663
original_shape2D_Perimeter_delta_t0_t24,2.695579429173594e-51,2,593,0.10031872615218163,-0.17137791437111027,,0.13596141547516663
original_gldm_SmallDependenceHighGrayLevelEmphasis_t24,1.721590632444944e-36,17,138,-0.26300401240587234,0.21621025763654514,,0.13596141547516663
original_glrlm_RunEntropy_t0,2.4038723763111876e-36,8,249,-0.14784323051571846,0.21678734180259418,,0.13596141547516663
original_firstorder_10Percentile_std,5.829921988819737e-22,11,199,0.34109237790107727,0.2720976268975579,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_delta_t0_t24,8.935329059466972e-22,3,99,0.5192200243473053,0.05622190056028282,,0.13596141547516663
original_gldm_DependenceNonUniformityNormalized_std,9.106448263127198e-15,2,82,0.305175319314003,0.3932706723671134,,0.13596141547516663
original_ngtdm_Contrast_slope,1.812940478298568e-11,16,46,-0.0009821213607210666,0.005569197361499233,,0.13596141547516663
original_firstorder_Minimum_delta,2.7758649547523486e-09,20,1482,0.428794859664049,0.009439365721107228,,0.13596141547516663
original_firstorder_10Percentile_t24,2.618137350692379e-07,2,44,0.6494448781013489,0.3236766383475201,,0.13596141547516663
original_firstorder_InterquartileRange_delta_t48_t72,1.5956144636754451e-06,21,1347,-0.12739078175010426,0.1363771613714933,,0.13596141547516663
original_firstorder_Kurtosis_slope_t48_t72,1.8100356739231416e-06,22,1686,0.006857706731269983,-0.007962610182108762,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_std,2.5779811351609163e-05,27,1723,0.18878295796888847,0.26844907531247747,,0.13596141547516663
original_firstorder_Minimum_delta_t24_t48,8.211424112737965e-05,3,285,-0.2554289599259694,0.13092588882019188,,0.13596141547516663
original_firstorder_Maximum_slope_t24_t48,8.343313872083685e-05,21,1431,-0.0010517995494107406,-0.01063851600958043,,0.13596141547516663
original_glrlm_RunEntropy_delta,0.00025277109358865077,21,1555,-0.3920165580653009,-0.5661396100973393,,0.13596141547516663
original_gldm_DependenceNonUniformityNormalized_mean,0.00029598604379035815,24,1795,-0.2215755632108388,-0.060360238846640484,,0.13596141547516663
original_gldm_DependenceVariance_t0,0.0008538813928758758,24,1454,-0.5173701116194328,-0.19567492740975623,,0.13596141547516663
original_shape2D_Sphericity_delta_t0_t24,0.001353685678278218,2,331,-0.03633840009570122,0.03315381354897134,,0.13596141547516663
original_firstorder_Skewness_delta_t24_t48,0.0017540140965627354,20,1654,0.09596848543733358,-0.12239699296066549,,0.13596141547516663
original_firstorder_RootMeanSquared_slope,0.0017892481095474297,5,65,0.003483111850800924,0.00039521000267436296,,0.13596141547516663
original_firstorder_InterquartileRange_slope_t0_t24,0.0023664997555579758,32,1705,-0.013411110929155257,-0.00505924324711233,,0.13596141547516663
original_ngtdm_Contrast_std,0.00376140993439265,11,2039,0.48940587958151643,0.40071678401874,,0.13596141547516663
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope_t24_t48,0.004796628113463947,20,1559,0.014902595290914178,0.005716703448255234,,0.13596141547516663
original_glrlm_RunLengthNonUniformityNormalized_delta_t24_t48,0.0062450800140554505,24,1563,0.35059887046615285,0.12440453619543959,,0.13596141547516663
original_firstorder_90Percentile_t24,0.01365021161240662,22,1741,-0.01737574911253019,-0.08594372689441522,,0.13596141547516663
original_shape2D_MinorAxisLength_slope_t0_t24,0.014229272625214132,8,1565,-0.012570604805659968,0.0004954084420365434,,0.13596141547516663
original_glrlm_LongRunEmphasis_t0,0.01644660884895623,2,17,0.18704601377248764,0.30629990030737486,,0.13596141547516663
original_firstorder_10Percentile_t0,0.017473808268080905,2,178,-0.39800240099430084,0.049948170791599855,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_slope,0.021766040966431175,6,230,0.0071182384466131525,0.0094298413032843,,0.13596141547516663
original_firstorder_RootMeanSquared_delta,0.023856686142699184,3,66,0.29176775366067886,0.1783549144694751,,0.13596141547516663
original_shape2D_MeshSurface_delta,0.029794306315443976,2,16,0.3031167723238468,-0.33477832103380933,,0.13596141547516663
original_shape2D_MajorAxisLength_std,0.0378056240308405,23,164,0.309589152102885,0.29137879744081235,,0.13596141547516663
original_shape2D_Elongation_mean,0.03929146866497659,7,182,0.020443950912782123,-0.04116155851151344,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_delta,0.04156991506403699,4,362,0.14074023813009262,0.5036833457319446,,0.13596141547516663
original_glrlm_RunLengthNonUniformityNormalized_delta,0.058521252630659264,2,326,-0.24963552877306938,0.6208695007853804,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_delta_t48_t72,0.0677660418079341,3,74,0.5334064066410065,0.23784246094323494,,0.13596141547516663
original_gldm_DependenceNonUniformityNormalized_delta_t0_t24,0.06853070640607745,2,353,0.0593428798019886,-0.039023864539419285,,0.13596141547516663
original_firstorder_Kurtosis_std,0.06933331974587115,4,106,0.32199016213417053,0.34511239629871443,,0.13596141547516663
original_shape2D_Sphericity_std,0.09766545025327873,4,180,0.2510879207402468,0.33648616609474025,,0.13596141547516663
original_firstorder_Maximum_delta_t24_t48,0.09788108721102126,2,94,-0.08854172422434203,-0.38790721367819214,,0.13596141547516663
original_shape2D_Perimeter_slope_t24_t48,0.10468256845266322,7,698,0.00893597595859319,0.010731419502193092,,0.13596141547516663
original_firstorder_InterquartileRange_delta_t0_t24,0.1151914014631445,13,75,0.126425601541996,0.0680831427872181,,0.13596141547516663
original_firstorder_Skewness_std,0.15656613477917955,23,2146,0.19910770768056746,0.18679137404822335,,0.13596141547516663
original_firstorder_Skewness_t24,0.18746225390383262,4,146,-0.38776178285479546,0.05369569034609076,,0.13596141547516663
original_glrlm_RunLengthNonUniformityNormalized_slope,0.20755679828367718,4,61,0.01221780339255929,0.011188692624392522,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_slope_t48_t72,0.249282934663937,2,73,0.02237590285949409,0.01496677020921895,,0.13596141547516663
original_firstorder_10Percentile_slope_t0_t24,0.334947089126161,5,287,-0.005229055794188753,0.004664998815495534,,0.13596141547516663
