feature,p_value,significant_0_05,n_thresholds_actual,n_thresholds_null,actual_mean_threshold,null_mean_threshold,mean_mae
original_gldm_DependenceVariance_t24,1.1197583440204435e-42,True,16,333,-0.4384662061929703,-0.1615380733623519,0.14125217713433982
original_glrlm_RunLengthNonUniformityNormalized_delta_t24_t48,1.8165114849629723e-35,True,16,386,0.7781098010018468,0.19429241376371037,0.14125217713433982
original_firstorder_InterquartileRange_slope,1.090701756494295e-28,True,4,254,-0.0006223680393304676,0.0027165520607486254,0.14125217713433982
original_gldm_DependenceNonUniformityNormalized_std,4.347778604103072e-27,True,2,167,0.305175319314003,0.3935039531506464,0.14125217713433982
original_shape2D_Elongation_t48,8.928733405644669e-23,True,14,220,-0.2985931634902954,-0.16365045259008185,0.14125217713433982
original_shape2D_Sphericity_delta_t48_t72,3.83330227258642e-15,True,19,305,-0.24290980398654938,-0.08925703228374973,0.14125217713433982
original_shape2D_Elongation_t72,4.115898361489534e-15,True,2,41,-0.6701511442661285,-0.2668462404754104,0.14125217713433982
original_shape2D_Elongation_delta_t0_t24,6.054216410798267e-11,True,4,222,-0.07486483454704285,0.07038202747568353,0.14125217713433982
original_shape2D_MajorAxisLength_t24,3.812271431895937e-09,True,25,2458,-0.32194577664136886,-0.1387855518197048,0.14125217713433982
original_shape2D_Perimeter_slope_t48_t72,3.581818397894638e-08,True,13,1602,0.011506315652066125,-0.005852185149174812,0.14125217713433982
original_firstorder_Kurtosis_std,1.5509773524193876e-07,True,5,280,0.3156489059329033,0.38930117056838104,0.14125217713433982
original_firstorder_Energy_mean,2.606286003002774e-07,True,21,1563,-0.1060154221597172,0.039568138626414236,0.14125217713433982
original_shape2D_Perimeter_t48,1.566473472702226e-06,True,14,103,-0.041369286831468344,0.06124911332068947,0.14125217713433982
original_glrlm_RunLengthNonUniformityNormalized_slope,2.171495702369901e-05,True,29,1818,0.01043298381334572,0.006824105650577983,0.14125217713433982
original_firstorder_MeanAbsoluteDeviation_slope,4.485924676573152e-05,True,4,116,0.006000162335112691,0.0036841597377196165,0.14125217713433982
original_gldm_SmallDependenceLowGrayLevelEmphasis_t0,0.00013323406584726726,True,22,1521,0.2562035791237246,-0.1364938867530056,0.14125217713433982
original_ngtdm_Contrast_delta_t48_t72,0.00016308652078213397,True,16,284,0.03158796578645706,0.3696373346143625,0.14125217713433982
original_gldm_SmallDependenceHighGrayLevelEmphasis_t24,0.0004674944738047355,True,33,2004,-0.12931881568422823,0.034048676118998235,0.14125217713433982
original_firstorder_MeanAbsoluteDeviation_std,0.00048268873349348155,True,15,69,0.19135600328445435,0.2778561061815075,0.14125217713433982
original_shape2D_Elongation_std,0.0014295211535612891,True,45,3052,0.25901982651816474,0.3153815901548959,0.14125217713433982
original_shape2D_PerimeterSurfaceRatio_delta_t48_t72,0.002376197574335334,True,6,241,0.5191536545753479,0.2763875802955687,0.14125217713433982
original_firstorder_Energy_t24,0.002929395215399724,True,13,133,0.1746256179534472,-0.04111260492214583,0.14125217713433982
original_gldm_SmallDependenceLowGrayLevelEmphasis_t24,0.003061783247296747,True,14,147,0.024018894881010056,-0.07174718009979547,0.14125217713433982
original_shape2D_MinorAxisLength_slope_t48_t72,0.003227113057200761,True,14,1579,-0.00238592442890097,-0.012186842669005623,0.14125217713433982
original_shape2D_Sphericity_std,0.005510411898341162,True,11,80,0.2629968855868686,0.30607635909691455,0.14125217713433982
original_firstorder_Skewness_t24,0.006829048519133251,True,3,189,-0.15618818253278732,-0.06909492761685104,0.14125217713433982
original_shape2D_Perimeter_mean,0.007034914629840345,True,28,3040,0.04420198520113315,-0.0456163087970038,0.14125217713433982
original_firstorder_RootMeanSquared_slope,0.011523516325949822,True,4,147,0.004052329924888909,0.0026338491194840318,0.14125217713433982
original_glrlm_RunLengthNonUniformityNormalized_mean,0.014700923664063574,True,2,170,0.31681976094841957,0.004278675127117073,0.14125217713433982
original_shape2D_Elongation_mean,0.017381278058734163,True,5,69,0.03185775894671679,-0.05121876210973099,0.14125217713433982
original_gldm_SmallDependenceHighGrayLevelEmphasis_std,0.0174873903028202,True,25,1540,0.28610044717788696,0.34164736248407657,0.14125217713433982
original_shape2D_MeshSurface_t48,0.019342546548863488,True,2,26,-0.07989463955163956,0.037448504474014044,0.14125217713433982
original_shape2D_Sphericity_slope_t24_t48,0.025115377150084085,True,2,65,-0.017348711378872395,-0.020631596220370668,0.14125217713433982
original_firstorder_90Percentile_mean,0.036487417962420304,True,3,420,-0.33551140626271564,-0.08411938274539785,0.14125217713433982
original_shape2D_MajorAxisLength_slope_t0_t24,0.06325780633687034,False,7,1680,-0.009848900604993105,-0.005724529787022177,0.14125217713433982
original_glrlm_RunLengthNonUniformityNormalized_t24,0.08200954570766947,False,2,103,-0.11348752770572901,0.03690248465581426,0.14125217713433982
original_firstorder_Maximum_slope_t0_t24,0.08629864876953203,False,2,31,0.0030972689455666114,-0.0010919445924246834,0.14125217713433982
original_firstorder_RootMeanSquared_t72,0.09791471845610622,False,2,226,0.10468402691185474,0.08919369895938388,0.14125217713433982
original_firstorder_RootMeanSquared_delta,0.152146190344315,False,7,26,0.29176775366067886,0.21372277561861736,0.14125217713433982
original_glrlm_LongRunEmphasis_t24,0.156629765849401,False,3,565,-0.15953074395656586,0.1019307459185345,0.14125217713433982
original_firstorder_Minimum_slope_t24_t48,0.1667112242763458,False,2,36,-0.008526337915100157,0.005621368924847856,0.14125217713433982
