Feature,Importance
original_firstorder_MeanAbsoluteDeviation_delta_t0_t24,0.1029167952127579
original_firstorder_Kurtosis_t24,0.09675066340018468
original_firstorder_RootMeanSquared_delta_t0_t24,0.06524364745789549
original_shape2D_MinorAxisLength_delta_t24_t48,0.0623040467282405
original_glrlm_LongRunEmphasis_t24,0.05631268397610248
original_firstorder_RootMeanSquared_delta_t24_t48,0.05302973513792405
original_gldm_SmallDependenceLowGrayLevelEmphasis_t24,0.050606006071128744
original_shape2D_Elongation_delta_t48_t72,0.04582989206070473
original_firstorder_Kurtosis_mean,0.045553601133122
original_shape2D_PerimeterSurfaceRatio_delta_t0_t24,0.04490874039126539
original_ngtdm_Contrast_delta,0.037093826543976714
original_shape2D_Elongation_delta,0.030854860850493063
original_shape2D_Elongation_t48,0.027172737664558723
original_shape2D_MinorAxisLength_t48,0.025581052006241632
original_shape2D_Elongation_delta_t24_t48,0.017670646523057384
original_glrlm_RunLengthNonUniformityNormalized_t0,0.015244025716256496
original_firstorder_Kurtosis_t72,0.014838298026743996
original_firstorder_Maximum_t48,0.009438006662974528
original_shape2D_MinorAxisLength_t72,0.008248359370901523
original_gldm_DependenceNonUniformityNormalized_t24,0.005459037254727287
