Feature,Gini_Importance,cumulative_importance
original_shape2D_PerimeterSurfaceRatio,0.1472247112543118,0.1472247112543118
original_firstorder_Kurtosis,0.0763158675979887,0.2235405788523005
original_shape2D_Sphericity,0.0712793933582859,0.2948199722105864
original_gldm_DependenceNonUniformityNormalized,0.0657587886786866,0.36057876088927304
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0619709288498233,0.42254968973909635
original_glrlm_LongRunEmphasis,0.0579104932910771,0.48046018303017346
original_firstorder_RootMeanSquared,0.0457745243721273,0.5262347074023007
original_firstorder_10Percentile,0.0348873655851709,0.5611220729874716
original_firstorder_Maximum,0.0339819164815074,0.595103989468979
original_firstorder_Energy,0.0335639153543774,0.6286679048233564
original_firstorder_Minimum,0.0323021312914374,0.6609700361147939
original_firstorder_90Percentile,0.031102362235114,0.6920723983499079
original_ngtdm_Contrast,0.0296931178746937,0.7217655162246016
original_shape2D_Elongation,0.028572009994483,0.7503375262190846
original_glrlm_RunEntropy,0.026494465945265,0.7768319921643496
