Feature,F_score,P_value
original_gldm_DependenceNonUniformityNormalized,270.7559363380986,8.0736454192441e-57
original_shape2D_PerimeterSurfaceRatio,246.74332635240387,3.0848233044402477e-52
original_glrlm_LongRunEmphasis,228.87455425370638,8.607271899662369e-49
original_gldm_SmallDependenceLowGrayLevelEmphasis,187.54222432790905,1.0628873282691045e-40
original_gldm_DependenceVariance,184.1236933533982,5.053032749628875e-40
original_glrlm_RunEntropy,171.35521817790314,1.7511212985235633e-37
original_shape2D_MinorAxisLength,147.9667937412035,8.729620793428315e-33
original_ngtdm_Contrast,144.8099235224934,3.799169838722628e-32
original_glrlm_RunLengthNonUniformityNormalized,135.6886378136028,2.700355801058826e-30
original_shape2D_Sphericity,128.65595879742222,7.339290112428105e-29
original_firstorder_Maximum,86.17305422865076,4.540033983156921e-20
original_gldm_SmallDependenceHighGrayLevelEmphasis,80.0091043546265,8.955488956872867e-19
original_shape2D_MeshSurface,67.06891514532508,4.882303243995343e-16
original_firstorder_10Percentile,62.45220057632599,4.689845994443096e-15
original_firstorder_Kurtosis,54.55252933120821,2.2940159251323657e-13
original_shape2D_Elongation,39.07233154859013,5.076121142743208e-10
original_firstorder_InterquartileRange,19.319750312906205,1.1694285064975875e-05
original_firstorder_MeanAbsoluteDeviation,15.683962728759681,7.774289455430996e-05
original_firstorder_Energy,7.705190822769707,0.005562633074314921
original_firstorder_90Percentile,6.57740887177418,0.010407773657222922
original_firstorder_Minimum,5.816919058903924,0.015971253047666403
original_firstorder_Skewness,3.374849062688386,0.06636178783643842
original_shape2D_Perimeter,2.299026438708057,0.12962896646216096
original_firstorder_RootMeanSquared,1.1096328247128322,0.29230175864599495
original_shape2D_MajorAxisLength,0.4770128828622388,0.4898666500159149
