fold,best_k,best_mae
0,36,0.023635280745070708
1,341,0.03837526660223739
2,5,0.014754726379454963
3,282,0.06220811618748029
4,4,0.15419662743099427
5,329,3.436630521569395e-05
6,4,0.0007331818600772033
7,216,0.06109042819964372
8,17,0.0004188620094527362
9,179,3.471331587256987e-05
10,1,0.1036923122845077
11,220,1.3886891688630332e-05
12,1,0.025747770557927763
13,2,0.032218513331090715
14,16,0.15252019861253152
15,1,0.005821793391100227
16,3,0.08235103723590437
17,2,0.12711900370777185
18,1,0.029686419705990952
19,11,0.09678881135512407
20,192,7.563002175020594e-05
21,3,0.042654706561909284
22,2,0.10915939799249724
23,236,0.0614097088010786
24,92,0.025887811966541385
25,279,1.455173430409129e-05
26,2,0.05627343430375792
27,195,0.15936904664047857
