feature,p_value,n_thresholds_actual,n_thresholds_null,actual_mean,null_mean,mean_r2,mean_mae
original_firstorder_Energy_mean,1.2202251292398736e-79,8,176,-0.2970478236675262,0.1407696997789158,,0.1359614154751666
original_shape2D_Perimeter_delta_t0_t24,2.695579429173594e-51,2,593,0.1003187261521816,-0.1713779143711102,,0.1359614154751666
original_gldm_SmallDependenceHighGrayLevelEmphasis_t24,1.721590632444944e-36,17,138,-0.2630040124058723,0.2162102576365451,,0.1359614154751666
original_glrlm_RunEntropy_t0,2.403872376311188e-36,8,249,-0.1478432305157184,0.2167873418025941,,0.1359614154751666
original_firstorder_10Percentile_std,5.829921988819737e-22,11,199,0.3410923779010772,0.2720976268975579,,0.1359614154751666
original_firstorder_MeanAbsoluteDeviation_delta_t0_t24,8.935329059466972e-22,3,99,0.5192200243473053,0.0562219005602828,,0.1359614154751666
original_gldm_DependenceNonUniformityNormalized_std,9.106448263127198e-15,2,82,0.305175319314003,0.3932706723671134,,0.1359614154751666
original_ngtdm_Contrast_slope,1.812940478298568e-11,16,46,-0.000982121360721,0.0055691973614992,,0.1359614154751666
original_firstorder_Minimum_delta,2.7758649547523486e-09,20,1482,0.428794859664049,0.0094393657211072,,0.1359614154751666
original_firstorder_10Percentile_t24,2.618137350692379e-07,2,44,0.6494448781013489,0.3236766383475201,,0.1359614154751666
original_firstorder_InterquartileRange_delta_t48_t72,1.5956144636754451e-06,21,1347,-0.1273907817501042,0.1363771613714933,,0.1359614154751666
original_firstorder_Kurtosis_slope_t48_t72,1.8100356739231416e-06,22,1686,0.0068577067312699,-0.0079626101821087,,0.1359614154751666
original_firstorder_MeanAbsoluteDeviation_std,2.5779811351609163e-05,27,1723,0.1887829579688884,0.2684490753124774,,0.1359614154751666
original_firstorder_Minimum_delta_t24_t48,8.211424112737965e-05,3,285,-0.2554289599259694,0.1309258888201918,,0.1359614154751666
original_firstorder_Maximum_slope_t24_t48,8.343313872083685e-05,21,1431,-0.0010517995494107,-0.0106385160095804,,0.1359614154751666
original_glrlm_RunEntropy_delta,0.0002527710935886,21,1555,-0.3920165580653009,-0.5661396100973393,,0.1359614154751666
original_gldm_DependenceNonUniformityNormalized_mean,0.0002959860437903,24,1795,-0.2215755632108388,-0.0603602388466404,,0.1359614154751666
original_gldm_DependenceVariance_t0,0.0008538813928758,24,1454,-0.5173701116194328,-0.1956749274097562,,0.1359614154751666
original_shape2D_Sphericity_delta_t0_t24,0.0013536856782782,2,331,-0.0363384000957012,0.0331538135489713,,0.1359614154751666
original_firstorder_Skewness_delta_t24_t48,0.0017540140965627,20,1654,0.0959684854373335,-0.1223969929606654,,0.1359614154751666
original_firstorder_RootMeanSquared_slope,0.0017892481095474,5,65,0.0034831118508009,0.0003952100026743,,0.1359614154751666
original_firstorder_InterquartileRange_slope_t0_t24,0.0023664997555579,32,1705,-0.0134111109291552,-0.0050592432471123,,0.1359614154751666
original_ngtdm_Contrast_std,0.0037614099343926,11,2039,0.4894058795815164,0.40071678401874,,0.1359614154751666
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope_t24_t48,0.0047966281134639,20,1559,0.0149025952909141,0.0057167034482552,,0.1359614154751666
original_glrlm_RunLengthNonUniformityNormalized_delta_t24_t48,0.0062450800140554,24,1563,0.3505988704661528,0.1244045361954395,,0.1359614154751666
original_firstorder_90Percentile_t24,0.0136502116124066,22,1741,-0.0173757491125301,-0.0859437268944152,,0.1359614154751666
original_shape2D_MinorAxisLength_slope_t0_t24,0.0142292726252141,8,1565,-0.0125706048056599,0.0004954084420365,,0.1359614154751666
original_glrlm_LongRunEmphasis_t0,0.0164466088489562,2,17,0.1870460137724876,0.3062999003073748,,0.1359614154751666
original_firstorder_10Percentile_t0,0.0174738082680809,2,178,-0.3980024009943008,0.0499481707915998,,0.1359614154751666
original_shape2D_PerimeterSurfaceRatio_slope,0.0217660409664311,6,230,0.0071182384466131,0.0094298413032843,,0.1359614154751666
original_firstorder_RootMeanSquared_delta,0.0238566861426991,3,66,0.2917677536606788,0.1783549144694751,,0.1359614154751666
original_shape2D_MeshSurface_delta,0.0297943063154439,2,16,0.3031167723238468,-0.3347783210338093,,0.1359614154751666
original_shape2D_MajorAxisLength_std,0.0378056240308405,23,164,0.309589152102885,0.2913787974408123,,0.1359614154751666
original_shape2D_Elongation_mean,0.0392914686649765,7,182,0.0204439509127821,-0.0411615585115134,,0.1359614154751666
original_shape2D_PerimeterSurfaceRatio_delta,0.0415699150640369,4,362,0.1407402381300926,0.5036833457319446,,0.1359614154751666
