fold,mae
0,0.024497133030110696
1,0.06271489285117376
2,0.04439372290719967
3,0.0836498025744627
4,0.1874535500227364
5,0.020237777165310944
6,0.1273074994498971
7,0.08647918041465541
8,0.011572843153076329
9,0.004724364059886688
10,0.15914124600617108
11,0.033644990170826505
12,0.06596937770751754
13,0.13246792896177068
14,0.17030242915686344
15,0.07988488426556978
16,0.10010796180090725
17,0.16519117145273132
18,0.11054545547017619
19,0.11749516977686192
20,0.009430779683551327
21,0.10036439165849953
22,0.11639576180581929
23,0.11880245294248637
24,0.039802210082388045
25,0.012697375500161756
26,0.09019053873975857
27,0.19621438277569353
