k,r2,mae
1,-0.5741088772592504,0.23299151357711342
2,-0.2186164264956565,0.22063977861186193
3,-0.10389690370347071,0.20828298428125205
4,0.20007608288452527,0.17313255676447112
5,0.3098959482186536,0.16226592382947974
6,0.4243747461498245,0.1439346064588533
7,0.4761394285873205,0.13595079801760518
8,0.4547153136132184,0.13695925075028365
9,0.45099982654631654,0.13790004607172682
10,0.45938416390465353,0.13678798550022384
11,0.4512227405793947,0.13766901710503532
12,0.4940290255030202,0.13428401635745152
13,0.4897954532863197,0.13647647811226957
14,0.4751189924492353,0.13831990942705566
15,0.4738783143947427,0.1387026885505267
16,0.46394715431176015,0.13941494678270278
17,0.46122576440437524,0.13952307997191085
18,0.46355757284732946,0.13938180133669342
19,0.4901981751551805,0.13574568548771854
20,0.49236202045700683,0.13573621210048292
21,0.48281663115669693,0.13675543985972669
22,0.48606861530810186,0.13601552093025202
23,0.48568262095884784,0.13606377277167922
24,0.48256971016097316,0.13631647989883394
25,0.4903620149328971,0.1358288214367625
