feature,mean_importance,var_importance,mean_r2,var_r2,mean_mae,var_mae,n_folds_selected,selection_frequency
original_firstorder_10Percentile,0.04700684216136564,0.0014475752251145902,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,18,0.6428571428571429
original_firstorder_90Percentile,0.03587180159077407,0.0012202439897775652,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,15,0.5357142857142857
original_firstorder_Energy,0.030543957116355182,0.001068637263888292,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,14,0.5
original_firstorder_InterquartileRange,0.026259078576362633,0.0011767853602230821,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,11,0.39285714285714285
original_firstorder_Kurtosis,0.061684109638502196,0.0010962961059878683,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,23,0.8214285714285714
original_firstorder_Maximum,0.07311695223999629,0.000634440302555316,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,26,0.9285714285714286
original_firstorder_MeanAbsoluteDeviation,0.04020766243801543,0.0015247036313113355,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,15,0.5357142857142857
original_firstorder_Minimum,0.024333766650572356,0.0010021506544990186,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,11,0.39285714285714285
original_firstorder_RootMeanSquared,0.02385177058199649,0.001101794584906687,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,10,0.35714285714285715
original_firstorder_Skewness,0.004836287091979961,0.000317499052469581,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,2,0.07142857142857142
original_gldm_DependenceNonUniformityNormalized,0.07218576276768411,0.0032903101854263937,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,19,0.6785714285714286
original_gldm_DependenceVariance,0.019044314688087684,0.0011351670835473033,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,8,0.2857142857142857
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.009117733166815582,0.0004043515652650039,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,5,0.17857142857142858
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.08808813659325078,0.0022681886341015915,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,24,0.8571428571428571
original_glrlm_LongRunEmphasis,0.04189902716010251,0.0023007725414767636,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,13,0.4642857142857143
original_glrlm_RunEntropy,0.025104661262038235,0.0009354655445504913,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,12,0.42857142857142855
original_glrlm_RunLengthNonUniformityNormalized,0.007062987606025514,0.0003148578384248788,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,4,0.14285714285714285
original_ngtdm_Contrast,0.04062441669311754,0.0012975021448890511,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,17,0.6071428571428571
original_shape2D_Elongation,0.018830058585089435,0.000792313419570891,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,9,0.32142857142857145
original_shape2D_MajorAxisLength,0.0014473713753623974,5.8656749150116266e-05,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,1,0.03571428571428571
original_shape2D_MeshSurface,0.016550768195308894,0.0007269021270349451,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,8,0.2857142857142857
original_shape2D_MinorAxisLength,0.03709419802280286,0.002070393503850785,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,12,0.42857142857142855
original_shape2D_Perimeter,0.0055896182191797076,0.0002706506184881617,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,3,0.10714285714285714
original_shape2D_PerimeterSurfaceRatio,0.13515887159715262,0.000747209946518914,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,28,1.0
original_shape2D_Sphericity,0.11448984598206183,0.0001920954852087228,-0.7346247717921743,0.46705676685660213,0.17480891205034563,0.0006255453727430892,28,1.0
