feature,n_folds_selected,selection_frequency
original_shape2D_Elongation,11,0.39285714285714285
original_shape2D_MajorAxisLength,1,0.03571428571428571
original_shape2D_MeshSurface,2,0.07142857142857142
original_shape2D_MinorAxisLength,5,0.17857142857142858
original_shape2D_Perimeter,7,0.25
original_shape2D_PerimeterSurfaceRatio,28,1.0
original_shape2D_Sphericity,27,0.9642857142857143
original_firstorder_10Percentile,22,0.7857142857142857
original_firstorder_90Percentile,11,0.39285714285714285
original_firstorder_Energy,10,0.35714285714285715
original_firstorder_InterquartileRange,9,0.32142857142857145
original_firstorder_Kurtosis,27,0.9642857142857143
original_firstorder_Maximum,15,0.5357142857142857
original_firstorder_MeanAbsoluteDeviation,2,0.07142857142857142
original_firstorder_Minimum,9,0.32142857142857145
original_firstorder_RootMeanSquared,26,0.9285714285714286
original_firstorder_Skewness,7,0.25
original_glrlm_LongRunEmphasis,19,0.6785714285714286
original_glrlm_RunEntropy,8,0.2857142857142857
original_glrlm_RunLengthNonUniformityNormalized,5,0.17857142857142858
original_gldm_DependenceNonUniformityNormalized,28,1.0
original_gldm_DependenceVariance,2,0.07142857142857142
original_gldm_SmallDependenceHighGrayLevelEmphasis,4,0.14285714285714285
original_gldm_SmallDependenceLowGrayLevelEmphasis,22,0.7857142857142857
original_ngtdm_Contrast,14,0.5
