model,fold,feature,importance,r2,mae
RandomForest,0,original_shape2D_Elongation,0.05016755023011816,0.49063920175665976,0.1366779169170423
RandomForest,0,original_shape2D_MajorAxisLength,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_shape2D_MeshSurface,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_shape2D_MinorAxisLength,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_shape2D_Perimeter,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_shape2D_PerimeterSurfaceRatio,0.16702813366470054,0.49063920175665976,0.1366779169170423
RandomForest,0,original_shape2D_Sphericity,0.09477107597852295,0.49063920175665976,0.1366779169170423
RandomForest,0,original_firstorder_10Percentile,0.061722667035810655,0.49063920175665976,0.1366779169170423
RandomForest,0,original_firstorder_90Percentile,0.05465591446692051,0.49063920175665976,0.1366779169170423
RandomForest,0,original_firstorder_Energy,0.04989645041297854,0.49063920175665976,0.1366779169170423
RandomForest,0,original_firstorder_InterquartileRange,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_firstorder_Kurtosis,0.09757698198696099,0.49063920175665976,0.1366779169170423
RandomForest,0,original_firstorder_Maximum,0.05882864810815332,0.49063920175665976,0.1366779169170423
RandomForest,0,original_firstorder_MeanAbsoluteDeviation,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_firstorder_Minimum,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_firstorder_RootMeanSquared,0.07211203914594391,0.49063920175665976,0.1366779169170423
RandomForest,0,original_firstorder_Skewness,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_glrlm_LongRunEmphasis,0.05659119873493739,0.49063920175665976,0.1366779169170423
RandomForest,0,original_glrlm_RunEntropy,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_glrlm_RunLengthNonUniformityNormalized,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_gldm_DependenceNonUniformityNormalized,0.10887095827345718,0.49063920175665976,0.1366779169170423
RandomForest,0,original_gldm_DependenceVariance,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.49063920175665976,0.1366779169170423
RandomForest,0,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0698449931126976,0.49063920175665976,0.1366779169170423
RandomForest,0,original_ngtdm_Contrast,0.057933388848797986,0.49063920175665976,0.1366779169170423
RandomForest,1,original_shape2D_Elongation,0.05089409805034921,0.4370481070282749,0.10019708225157317
RandomForest,1,original_shape2D_MajorAxisLength,0.0,0.4370481070282749,0.10019708225157317
RandomForest,1,original_shape2D_MeshSurface,0.0,0.4370481070282749,0.10019708225157317
RandomForest,1,original_shape2D_MinorAxisLength,0.0,0.4370481070282749,0.10019708225157317
RandomForest,1,original_shape2D_Perimeter,0.0,0.4370481070282749,0.10019708225157317
RandomForest,1,original_shape2D_PerimeterSurfaceRatio,0.1761728420174753,0.4370481070282749,0.10019708225157317
RandomForest,1,original_shape2D_Sphericity,0.09435509886223806,0.4370481070282749,0.10019708225157317
RandomForest,1,original_firstorder_10Percentile,0.06296335719901329,0.4370481070282749,0.10019708225157317
